영업일자,느티나무 셀프BBQ_1인 수저세트,느티나무 셀프BBQ_BBQ55(단체),"느티나무 셀프BBQ_대여료 30,000원","느티나무 셀프BBQ_대여료 60,000원","느티나무 셀프BBQ_대여료 90,000원",느티나무 셀프BBQ_스프라이트 (단체),느티나무 셀프BBQ_신라면,느티나무 셀프BBQ_쌈장,느티나무 셀프BBQ_육개장 사발면,느티나무 셀프BBQ_일회용 소주컵,느티나무 셀프BBQ_일회용 종이컵,느티나무 셀프BBQ_잔디그늘집 대여료 (12인석),느티나무 셀프BBQ_잔디그늘집 대여료 (6인석),느티나무 셀프BBQ_잔디그늘집 의자 추가,느티나무 셀프BBQ_참이슬 (단체),느티나무 셀프BBQ_친환경 접시 14cm,느티나무 셀프BBQ_친환경 접시 23cm,느티나무 셀프BBQ_카스 병(단체),느티나무 셀프BBQ_콜라 (단체),느티나무 셀프BBQ_햇반,느티나무 셀프BBQ_허브솔트,담하_(단체) 공깃밥,담하_(단체) 생목살 김치전골 2.0,담하_(단체) 은이버섯 갈비탕,담하_(단체) 한우 우거지 국밥,담하_(단체) 황태해장국 3/27까지,담하_(정식) 된장찌개,담하_(정식) 물냉면,담하_(정식) 비빔냉면,담하_(후식) 된장찌개,담하_(후식) 물냉면,담하_(후식) 비빔냉면,담하_갑오징어 비빔밥,담하_갱시기,담하_공깃밥,담하_꼬막 비빔밥,담하_느린마을 막걸리,담하_담하 한우 불고기,담하_담하 한우 불고기 정식,담하_더덕 한우 지짐,담하_들깨 양지탕,담하_라면사리,담하_룸 이용료,담하_메밀면 사리,담하_명인안동소주,담하_명태회 비빔냉면,담하_문막 복분자 칵테일,담하_봉평메밀 물냉면,담하_생목살 김치찌개,담하_스프라이트,담하_은이버섯 갈비탕,담하_제로콜라,담하_참이슬,담하_처음처럼,담하_카스,담하_콜라,담하_테라,담하_하동 매실 칵테일,담하_한우 떡갈비 정식,담하_한우 미역국 정식,담하_한우 우거지 국밥,담하_한우 차돌박이 된장찌개,담하_황태해장국,라그로타_AUS (200g),라그로타_G-Charge(3),라그로타_Gls.Sileni,라그로타_Gls.미션 서드,라그로타_Open Food,라그로타_그릴드 비프 샐러드,라그로타_까르보나라,라그로타_모둠 해산물 플래터,라그로타_미션 서드 카베르네 쉬라,라그로타_버섯 크림 리조또,라그로타_빵 추가 (1인),라그로타_스프라이트,라그로타_시저 샐러드,라그로타_아메리카노,라그로타_알리오 에 올리오,라그로타_양갈비 (4ps),라그로타_자몽리치에이드,라그로타_제로콜라,라그로타_카스,라그로타_콜라,라그로타_하이네켄(생),라그로타_한우 (200g),라그로타_해산물 토마토 리조또,라그로타_해산물 토마토 스튜 파스타,라그로타_해산물 토마토 스파게티,"미라시아_(단체)브런치주중 36,000",미라시아_(화덕) 불고기 페퍼로니 반반피자,미라시아_BBQ Platter,미라시아_BBQ 고기추가,미라시아_공깃밥,미라시아_글라스와인 (레드),미라시아_레인보우칵테일(알코올),미라시아_미라시아 브런치 (패키지),미라시아_버드와이저(무제한),미라시아_보일링 랍스타 플래터,미라시아_보일링 랍스타 플래터(덜매운맛),미라시아_브런치 2인 패키지,미라시아_브런치 4인 패키지,미라시아_브런치(대인) 주말,미라시아_브런치(대인) 주중,미라시아_브런치(어린이),미라시아_쉬림프 투움바 파스타,미라시아_스텔라(무제한),미라시아_스프라이트,미라시아_애플망고 에이드,미라시아_얼그레이 하이볼,미라시아_오븐구이 윙과 킬바사소세지,미라시아_유자 하이볼,미라시아_잭 애플 토닉,미라시아_칠리 치즈 프라이,미라시아_코카콜라,미라시아_코카콜라(제로),미라시아_콥 샐러드,미라시아_파스타면 추가(150g),미라시아_핑크레몬에이드,카페테리아_공깃밥(추가),카페테리아_구슬아이스크림,카페테리아_단체식 13000(신),카페테리아_단체식 18000(신),카페테리아_돼지고기 김치찌개,카페테리아_복숭아 아이스티,카페테리아_새우 볶음밥,카페테리아_새우튀김 우동,카페테리아_샷 추가,카페테리아_수제 등심 돈까스,카페테리아_아메리카노(HOT),카페테리아_아메리카노(ICE),카페테리아_약 고추장 돌솥비빔밥,카페테리아_어린이 돈까스,카페테리아_오픈푸드,카페테리아_진사골 설렁탕,카페테리아_짜장면,카페테리아_짜장밥,카페테리아_짬뽕,카페테리아_짬뽕밥,카페테리아_치즈돈까스,카페테리아_카페라떼(HOT),카페테리아_카페라떼(ICE),카페테리아_한상 삼겹구이 정식(2인) 소요시간 약 15~20분,포레스트릿_꼬치어묵,포레스트릿_떡볶이,포레스트릿_복숭아 아이스티,포레스트릿_생수,포레스트릿_스프라이트,포레스트릿_아메리카노(HOT),포레스트릿_아메리카노(ICE),포레스트릿_치즈 핫도그,포레스트릿_카페라떼(HOT),포레스트릿_카페라떼(ICE),포레스트릿_코카콜라,포레스트릿_페스츄리 소시지,화담숲주막_느린마을 막걸리,화담숲주막_단호박 식혜,화담숲주막_병천순대,화담숲주막_스프라이트,화담숲주막_참살이 막걸리,화담숲주막_찹쌀식혜,화담숲주막_콜라,화담숲주막_해물파전,화담숲카페_메밀미숫가루,화담숲카페_아메리카노 HOT,화담숲카페_아메리카노 ICE,화담숲카페_카페라떼 ICE,화담숲카페_현미뻥스크림
TEST_00+1일,7.2077293,43.45403,5.7789483,2.943313,0.9900624,13.679942,2.9972007,0.9704466,1.4864807,0.9555691,1.0644083,2.3911812,16.701548,1.5885992,22.043287,1.070375,1.4536568,38.620453,12.933227,2.3597383,0.95085937,1.7876002,38.838894,24.934692,17.614248,63.217884,7.556587,4.1222816,2.606422,3.8131714,2.3661335,1.5781132,1.6017603,1.7536994,24.090424,2.3856204,1.8364826,18.825254,15.441508,1.0660042,2.5101073,1.005165,1.171257,1.7019024,0.9314885,3.6779716,0.9272575,3.220413,10.755409,1.0753093,4.8426614,0.9985345,1.8819071,1.170484,1.9735447,1.1133386,1.8428793,1.043573,8.135147,8.510906,13.036336,10.483162,6.4720683,2.5980623,1.0920526,1.2102038,2.7647564,0.96140474,1.7444645,3.6074162,0.9898779,1.0676545,3.1563652,2.5214744,1.0635899,1.6255795,1.148564,3.9797516,1.5545002,1.5340601,1.1798663,1.8261633,1.5500072,2.8544817,1.8725786,1.3069639,2.7885745,5.0349007,48.14906,2.6697807,6.534443,1.1080599,1.7660722,1.119058,1.0097308,14.241637,4.9892154,1.8875414,1.0504087,4.0501533,1.0747116,180.71355,23.817001,36.010918,4.0615025,3.9277008,1.25867,2.7179668,1.2379041,1.9356818,1.294225,0.99822307,0.9964908,2.4856193,1.5318359,2.4222572,1.0585188,1.1744697,6.1545424,2.2349436,60.494274,60.42862,12.341266,3.0916302,7.1541085,5.08541,1.252081,20.521685,3.444006,3.7894442,22.895655,6.9803777,1.2009937,5.326219,9.306129,1.3811483,5.276407,2.6243505,5.858419,3.3587027,2.5421531,6.5416903,2.4416418,4.0246234,4.2734523,24.787344,2.6973712,2.9313128,50.29356,4.0081472,1.2268546,4.7629204,4.7592998,2.8138466,21.130507,8.997178,19.30145,7.175139,17.69076,24.609413,9.1729555,75.93943,36.684666,4.6736016,42.455685,8.883967,22.31089
TEST_00+2일,5.445522,79.40413,2.4305727,1.89044,0.97063833,18.713957,2.3210142,1.002957,1.418883,0.9581354,1.002328,1.4350106,3.4609778,1.4398222,33.11732,1.086788,1.2336864,50.87607,19.937122,2.061754,0.9874597,1.8001661,40.70607,32.378716,18.185026,24.707916,5.8432317,2.9089584,1.5931333,2.051812,1.7577219,1.1368557,1.3261557,1.6599855,9.630653,2.1660662,1.3927158,7.666408,11.022599,1.1003885,2.2970417,1.3850759,1.3965298,1.0701622,1.0208007,2.5898397,1.0406348,1.6618487,7.849094,1.0719771,3.5334167,1.0657593,1.379887,1.1192394,1.4717394,1.1137447,1.7833472,1.0055889,3.2438755,3.7341216,3.924537,9.523957,3.2144845,1.7807087,1.0013314,1.0570351,2.0322807,0.89559346,1.2666782,2.1884434,1.0028046,1.036779,2.2458498,1.9944156,1.0156273,1.2733196,1.1415894,3.296671,1.099079,1.260046,1.1280546,1.6577057,1.288241,2.0583675,1.4715673,1.1053563,2.2805765,3.6480942,63.719105,1.7302903,3.8003664,1.0308332,1.481431,1.1315169,1.0334282,8.001021,4.5381465,1.3226677,1.0135388,4.191018,1.0528917,12.7831955,58.08284,11.401962,2.84809,3.0403242,1.0686927,1.8197851,1.0623937,1.4705381,1.1530993,1.0027319,0.9816912,1.667271,1.2239052,1.9288229,0.9725918,1.0804195,2.050769,1.8026247,57.732098,96.34794,4.871896,2.2934268,2.0322587,4.486713,1.0039483,4.4501243,2.1851642,3.6698768,7.614652,2.1138246,1.0610157,4.9646115,1.649408,1.193289,1.6949161,1.8213615,2.1097322,2.5018137,1.7735885,2.2775087,1.9097017,1.3617433,3.8006284,5.6511636,1.1915673,2.1449637,14.30672,1.2685323,1.0202636,1.9240156,1.585043,1.5051235,6.5603786,3.6193469,5.8072495,3.236125,5.586292,7.1615434,3.5530899,20.634813,10.161331,2.4788837,15.060574,3.5852191,5.7776847
TEST_00+3일,6.47716,38.18602,2.3508081,1.789629,0.97956353,10.85073,2.3507674,1.0134667,1.5010973,0.97375613,1.0115409,1.6515961,3.5876255,1.4688554,21.555094,1.1097726,1.3026818,36.23848,11.558635,2.1221235,1.0087534,1.8790568,53.364258,32.990376,22.070154,57.82036,6.2432213,3.0842323,1.5835071,2.3849344,2.0796537,1.202469,1.5543633,1.6545004,10.425907,2.3602798,1.5361385,7.0445457,11.366075,1.1311904,2.7052252,1.5174656,1.4753004,1.1228262,1.05055,2.8311045,1.0658935,1.8940789,8.067913,1.0838501,3.7803612,1.0921128,1.394632,1.1315287,1.557901,1.142378,1.8393694,1.0006782,2.6683457,3.0138423,3.5700474,11.1673155,3.4315612,1.8033333,1.0325552,1.0685753,2.1390142,0.91076857,1.3256782,2.2421846,1.0102249,1.026518,2.6249208,2.10556,1.0095599,1.2682954,1.1639938,3.5507314,1.0643368,1.2722379,1.1295308,1.7330407,1.284398,2.3052337,1.6129738,1.1468796,2.3670332,3.9069347,72.55418,1.5461898,2.9668486,1.0203844,1.3138171,1.1424485,1.0470221,8.982043,4.0978274,1.1971166,1.0140353,2.04368,1.0458673,5.3171554,31.474329,3.8260124,2.6130526,2.8499918,1.0197366,1.6367086,1.0491112,1.2652516,1.0929004,1.0078653,0.9864468,1.612933,1.2046233,1.7142215,1.0008307,1.0820848,2.061168,1.9370075,66.161125,98.09835,5.0379386,2.2974155,2.4005735,4.888602,0.9378316,5.1274014,2.3464906,4.220173,8.853263,1.9325372,1.1009718,6.070074,1.9073435,1.1822329,2.1572595,1.9114186,2.1444623,2.648844,1.8769814,2.4729679,1.7355744,1.2144521,3.2632267,4.0684185,1.021248,1.9769744,12.901738,0.94405276,0.9794593,1.4304234,1.3690271,1.2380513,7.011774,3.7710273,6.59255,3.1829603,5.9204216,7.775944,3.873251,25.174677,12.51442,3.050151,21.074625,4.5845885,5.3116364
TEST_00+4일,6.2214217,73.335945,2.2333834,1.6916,0.9689138,17.026657,2.5610807,1.0171022,1.4892454,0.975959,0.9995241,1.3531805,3.4853027,1.4581217,24.070396,1.1051387,1.3006526,44.880817,19.877981,2.1528335,1.0147022,1.9003385,52.1879,25.629005,18.973616,54.952972,6.515906,2.9017856,1.4890715,2.6133876,2.047333,1.1896161,1.4723831,1.6211863,12.182738,2.380432,1.4331383,8.627827,12.216431,1.1472322,2.6815917,1.4414701,1.4288784,1.1872883,1.067009,2.8332806,1.0710996,1.939464,8.459949,1.0806504,3.760217,1.1069928,1.3729876,1.1243256,1.5905433,1.1461014,1.870994,0.9978747,2.890219,2.9804058,3.9572601,11.79279,3.6156433,1.7236382,1.036736,1.0676404,2.0685623,0.9299055,1.3353115,2.1248043,1.0135275,1.0283645,2.6017077,2.1126769,1.0136517,1.2476274,1.1650981,3.4922905,1.0463504,1.2364784,1.1171316,1.7641472,1.2833673,2.2615485,1.5109476,1.153418,2.325283,3.792549,60.197193,1.5766315,3.0429857,1.0027648,1.2814456,1.1356312,1.0413283,10.090905,3.81703,1.2058553,1.0087148,2.0284212,1.0224504,6.2863984,38.52164,3.4899342,2.4864047,2.9931421,1.0159959,1.7248198,1.0192268,1.2286464,1.0724651,0.99276763,0.9753782,1.640823,1.2098973,1.6216589,1.0052531,1.0645696,1.925819,2.0597327,94.53247,94.88736,4.9430027,2.401769,2.3987858,5.0738673,0.87511307,5.1318817,2.5515845,4.760196,9.230761,2.0673447,1.0697908,6.5793824,2.0720284,1.1395291,2.1725109,1.9450912,2.0570097,2.6284287,1.9150022,2.4848576,1.6221622,1.1898862,2.8316524,3.41312,0.96656877,1.7930228,12.042882,0.9398539,0.9506247,1.3231977,1.226789,1.0819024,6.2940383,3.4743917,5.8172784,2.7143536,5.158324,7.5090194,3.4238815,21.973543,11.499489,2.5956433,18.934809,3.951374,5.4853196
TEST_00+5일,8.465379,83.598076,2.6660717,1.8877726,0.9736481,27.379927,3.5991669,1.0163097,1.6491164,0.99106807,1.0980371,2.0687823,9.219982,1.6438695,43.789104,1.128417,1.5580181,71.65081,28.009888,2.6424444,1.0280304,2.1544235,54.627033,31.596056,23.370537,58.346386,7.621267,3.3870392,1.7064009,3.488221,2.3592565,1.3776757,1.6966466,1.8419167,17.216461,2.9444754,1.7162672,12.221791,14.020894,1.1869782,3.4530418,1.3897189,1.3874563,1.3110514,1.0747403,3.4701679,1.0796211,2.3684957,9.863841,1.092944,4.5247846,1.1043575,1.4009815,1.1355532,1.7137552,1.2009132,1.9954015,1.0147461,3.420686,3.1325836,5.1048074,14.508973,4.288523,1.7840179,1.0574375,1.0811448,2.284647,0.9430731,1.5380768,2.343982,1.0197474,1.0246178,3.2300928,2.2598338,1.0201384,1.3327645,1.1864554,3.728556,1.0652136,1.2926036,1.1243758,1.8922039,1.4086927,2.466305,1.6787314,1.2369256,2.5314367,4.0955215,83.411934,1.8253947,3.7850988,1.0103574,1.4920416,1.141204,1.0574619,10.863522,3.9504073,1.3669448,1.0088109,2.4945815,1.0207553,5.2395916,37.16882,3.9063537,2.9994037,3.2124462,1.1209121,1.9473692,1.0292257,1.2904207,1.0754204,0.99914056,0.9874365,2.091631,1.269514,1.8687925,1.0093132,1.0951301,2.38844,2.3546379,94.94989,112.01186,5.7219195,2.7094421,2.7759202,5.985496,0.870693,6.233461,2.974449,5.8244762,10.499905,2.088648,1.0952667,7.886335,2.3909793,1.1505939,2.4917753,2.0649745,2.3181398,2.9129112,2.074197,3.1581573,1.71391,1.3303276,3.3549435,3.7891743,0.9980777,1.9919974,14.071284,1.0952039,0.99730974,1.4740242,1.3553848,1.1567308,6.8895392,3.5577457,6.299772,2.8639114,5.091461,8.345916,3.8063,23.88529,12.661548,2.9419382,22.056852,4.520176,6.048762
TEST_00+6일,9.6387,63.60496,5.568756,3.0544484,1.0879499,16.683392,4.483647,1.0242155,2.026513,1.0300153,1.645938,4.6167045,27.709732,2.0759232,30.6878,1.2292975,1.9966106,45.404194,20.830738,3.1791468,1.0849814,2.6328814,58.72282,37.550594,22.488298,91.84542,8.737972,3.9806178,2.2782516,5.725596,3.4321878,2.2963438,2.4082983,2.191653,39.96065,4.128305,2.3288279,36.44903,16.01702,1.2757041,4.228093,1.1501131,1.1715859,2.6409426,1.033636,4.4388423,1.0331314,3.1713736,12.011432,1.1469398,5.467785,1.0373043,2.374078,1.2460834,2.1013267,1.3140477,2.1724167,1.0690647,7.573139,3.7363908,6.828711,15.772668,5.3524833,2.2362225,1.0959884,1.2156843,2.9968126,0.9388109,1.7654939,2.9771488,0.9874752,1.020048,4.1739116,2.5580451,1.0318105,1.5165405,1.2155223,4.320418,1.3148373,1.4430618,1.1934662,2.0614712,1.7183582,2.7428236,2.0609462,1.5109091,2.825513,4.8096657,83.27924,2.6437116,7.5542126,1.0417943,1.9884806,1.1067914,1.0407854,25.424238,6.718578,2.0870936,1.0378762,3.787289,1.0563194,9.026695,51.152466,7.822006,4.8449044,4.348991,1.7495618,2.860031,1.1730119,2.1580822,1.2902116,0.989408,1.0752604,2.937929,1.5061442,2.4009068,1.1029066,1.2650144,3.5415823,3.1133292,151.80443,132.81566,7.1881638,4.103285,4.726154,10.076538,0.98116106,11.510246,5.338,9.448885,13.532478,3.9353666,1.1251086,13.521281,4.9504795,1.2908359,4.258035,2.4481018,3.8711472,4.3143697,3.373113,6.328612,2.152025,2.02462,5.0406094,7.0779433,1.4065299,2.4937246,18.482597,2.3496373,1.1144376,2.307172,2.232947,1.5483433,9.122458,4.3223515,8.07672,3.1911268,6.0136123,11.1128435,4.4679837,29.298208,17.077362,3.3462355,27.249283,5.69014,9.094371
TEST_00+7일,12.870166,42.68672,9.723148,5.990374,2.1626089,13.993634,6.2155137,1.5301653,3.1272886,1.6138839,2.3111217,5.9914136,41.220688,3.720667,19.661093,1.8348026,2.7909229,29.445282,13.541045,4.2109404,1.6560354,2.9640846,44.32308,22.483118,19.462015,52.112644,10.779937,6.0238996,3.6089256,7.2608466,3.9181726,2.9765317,2.7719758,3.821865,58.6911,4.749366,3.1062744,51.718067,21.390343,1.7525749,4.8266506,1.0806919,1.4904327,3.626236,1.1047496,5.236236,1.1781708,4.0792017,15.450072,2.14688,6.1907296,1.1710386,5.2199903,1.8649312,2.6762698,1.57609,2.2801867,1.8039179,12.918544,7.750136,13.788582,15.577334,8.413831,3.2333562,1.7428356,2.1638358,3.9658415,0.98191184,2.264642,4.0922165,1.0394584,1.1168727,5.2293615,3.021342,1.2549367,2.04103,1.4335766,4.8458104,2.352497,1.7351378,1.6519402,2.4835498,2.276331,4.307127,2.472318,2.445919,3.0448768,6.3475556,41.919758,4.915709,14.377063,1.8843066,3.0301435,1.2132977,1.165075,7.824819,10.839786,2.9117777,1.6794652,7.768166,1.7824483,155.11714,21.33954,25.630583,6.7766805,6.301908,2.963349,5.100714,2.4172244,2.9093788,2.563536,1.3169199,2.0964491,3.7769108,2.398087,3.6128623,2.4483216,2.1483774,7.6182656,6.516788,77.14895,80.53532,11.811607,9.078553,9.5566025,17.753553,1.6516718,26.014433,11.464635,18.27761,23.165106,8.846463,1.8377956,23.40505,13.37616,2.221063,7.1779823,3.8198605,8.801744,8.571829,7.61706,10.337221,4.9223585,8.324439,10.826279,21.409323,4.7869964,4.278317,45.14918,11.794978,2.0999718,7.1076217,7.724604,6.210896,23.12719,10.5219145,20.82605,7.996508,16.524305,29.84305,10.934567,79.92686,33.85506,5.5876517,43.271656,10.206307,23.0828
TEST_01+1일,7.1969566,19.069283,7.6369205,3.5309732,1.0193733,4.783157,3.6919937,0.97553277,1.6433992,0.95285106,1.0480934,2.079747,15.278198,1.5038761,7.054377,1.0435463,1.4931707,15.00491,5.0975738,2.5113146,0.94944066,1.8044635,32.92712,22.971365,13.476814,37.367855,5.4477525,4.4402905,2.4430912,5.088366,2.6764634,1.7057205,1.5718666,1.7323707,42.355686,2.3361366,2.0613463,27.550787,12.637215,1.0564749,2.4199688,1.410542,1.1370875,2.4972756,0.9318211,4.2271023,1.0093608,4.287724,10.282275,1.1874063,6.2438264,0.97192734,2.4261801,1.1711718,1.8544039,1.1775718,1.9495949,1.1583314,14.475425,7.4918466,12.364136,11.192611,7.5516453,2.355994,1.1094555,1.9128819,3.8056011,0.9621753,1.8684454,2.0242765,1.1204787,0.991141,2.8469346,2.578723,1.120082,1.4390637,1.0058972,2.8449318,1.4547873,1.6910008,1.658269,2.1341498,1.270434,2.5798566,1.9415048,1.758968,2.1947622,5.214405,24.05739,3.1964252,9.146679,1.1640567,1.9535083,1.0880456,1.0243497,24.070807,7.260198,2.2163188,1.1681113,5.928456,1.1300417,148.88542,1.5151771,45.393494,5.192021,4.6904163,1.4244442,2.3513348,1.0783561,2.3342166,1.1862584,1.0258912,1.0427943,3.1448543,1.7048544,2.428096,1.5000712,1.0878396,7.6343536,2.2558715,36.11229,41.05984,12.767278,2.955804,9.0251665,4.90286,1.3128927,22.979004,3.3190758,3.4854772,18.837648,7.026943,1.4173378,5.5578437,12.915027,1.407406,6.9791884,2.5916827,9.892334,3.258234,2.2857692,13.296047,1.7998456,2.0166492,2.499277,14.012993,1.7718986,2.1558185,9.3576145,2.955281,1.0089512,1.8731827,3.7751045,1.6094211,13.707977,7.603958,14.990192,4.1514163,15.663838,13.834709,5.2971272,57.921528,38.231556,3.1047986,39.56734,7.5565677,29.331749
TEST_01+2일,5.0047398,21.528791,4.6202188,2.054383,0.9872594,4.9130645,1.9514793,0.9866395,1.4970354,0.9511759,1.0054305,1.4978393,7.1211104,1.4083906,6.681845,1.0310016,1.1472479,16.26682,4.779626,2.3312895,0.95555425,1.7947305,39.48736,29.146982,14.509247,13.462433,3.8064363,2.3634136,1.4483944,2.8670833,1.7634654,1.2636905,1.2258408,1.5902783,21.915237,2.0970724,1.3783237,17.100082,5.454193,1.0968801,2.1709983,1.7571234,1.3996719,1.3844953,1.0227976,2.756241,1.0326885,2.7446291,6.416519,1.0131307,4.9335713,1.0383669,1.8047959,1.1292955,1.556727,1.1422681,1.9575819,1.0257025,6.175083,4.6049824,6.257881,7.5184464,4.008493,1.6002651,1.0179776,1.4199284,2.9231145,0.98523694,1.3594222,1.6632513,1.0525876,1.0133013,1.5947255,1.935963,1.0358278,1.08849,1.0422696,1.775025,1.0550302,1.2720495,1.3272904,1.7433381,1.1329938,1.8782784,1.492247,1.271429,1.497523,3.4896183,26.394058,1.8856252,4.7343526,1.0337322,1.5377411,1.1101855,1.0374595,13.424441,4.0089684,1.4840136,1.0416116,6.9589486,1.0651914,11.548909,1.4516374,33.32156,3.2083588,3.445428,1.151775,1.4799572,0.9979005,1.5612574,1.0986829,1.0046932,0.98253417,2.1736178,1.2403747,1.589036,1.0599186,1.0285157,3.186107,1.7663116,37.35117,73.013725,6.9838176,2.0758698,4.1962714,4.2095237,1.0068395,8.583924,2.0838566,3.245961,9.269828,2.0629902,1.211347,4.7809663,3.8703938,1.1988212,2.778396,1.7083982,3.0789878,2.3757403,1.5805655,4.784068,1.367082,1.1194577,1.9884114,2.7292328,1.111183,1.4405843,3.66064,1.1525153,0.9435582,1.1747695,1.8416101,1.0047804,6.128446,3.6261396,5.5652146,2.7883265,5.61505,4.3585377,2.9433136,20.113863,13.2037115,2.0106885,15.385284,3.6246948,8.257214
TEST_01+3일,4.166706,23.554132,3.2032173,1.6366673,0.9983366,4.9592185,2.0374744,0.9915475,1.4291105,0.98189545,0.9799299,1.4294362,3.2140038,1.4173385,7.668718,1.0422474,1.1248194,18.575663,5.3964524,2.397636,0.9759261,1.9026462,42.918133,33.573368,16.13844,43.01442,3.912328,2.3484519,1.3697653,2.76317,1.8054242,1.3213897,1.3992524,1.5820853,17.210602,2.2804844,1.4416891,13.645031,5.229322,1.143631,2.4984953,1.8905654,1.4817661,1.3444816,1.0390916,2.5501776,1.0383767,2.5003138,5.582723,1.0085179,4.993355,1.0733825,1.7650856,1.1305795,1.6432071,1.1783943,2.0330353,1.0099852,4.5309234,3.6028917,5.1010585,7.3134017,3.237831,1.5856333,1.0546894,1.3641596,2.925107,1.0064443,1.3572747,1.7183281,1.0297227,1.0279471,1.6966586,2.0711584,1.0303068,1.0538927,1.0750958,1.8000298,1.0211518,1.3012158,1.2975655,1.7696496,1.1010052,2.0742962,1.5709194,1.2576562,1.5714664,3.521548,38.84108,1.5712863,3.6442287,0.9944787,1.4077892,1.1250424,1.0465508,10.594999,2.9611218,1.2211076,0.99800414,3.1914952,1.0251594,4.4252777,1.3607298,20.551367,2.2743747,3.2822726,1.0173246,1.3263382,0.99833363,1.2610747,1.0428075,1.0039183,0.9875595,1.9244995,1.155974,1.3678828,1.0100923,1.0311748,2.7595997,1.8799866,64.55442,52.044037,5.991711,2.0521166,3.586355,4.5275607,0.93514633,7.87911,2.1284177,3.6996796,8.470035,1.6243219,1.2296985,5.7771544,2.9859333,1.1553997,3.03275,1.7315083,2.8248365,2.4337914,1.6447531,4.5607915,1.3078481,1.0578157,1.7447528,2.0361514,1.036407,1.2478963,2.5122502,0.99185133,0.920718,0.9526827,1.445847,0.9742727,6.8494277,3.7109394,6.323356,2.846385,6.100908,4.827702,3.3189123,25.376915,16.539919,2.4203775,21.180208,4.562311,8.260365
